Organization ,Notes,Address,Call,Website
Pets of the Homeless,"Free emergency local veterinarian services, pet food and pet supplies. This national organization has special agreements with local veterinarians county-wide!",,775-841-7463,petsofthehomeless.org
Salvation Army,"Pet food, pet supplies, food, programs, disaster services","721 Laurel St, Santa Cruz, CA 95060",831-426-8365,http://www.salvationarmyusa.org/usn/plugins/gdosCenterSearch?mode=query_2&lat=36.974&lng=-122.031&code=US&query=santa%20cruz%20ca
